FID,ORIG_FID,x,y
63,14,116.430722002000000,39.898921053400002
64,14,116.431725199000000,39.898372316800000
65,14,116.432324693000000,39.898279886499999
66,14,116.433895807000000,39.897949354900000
67,14,116.435353223000010,39.897634417500001
68,14,116.436490582000000,39.897354780800001
69,14,116.437130712000000,39.897004441599996
70,14,116.437542327000000,39.896576929600002
71,14,116.437787725000010,39.896007618500001
72,14,116.437877954000000,39.893681268300000
73,14,116.437937773000000,39.892302092000001
74,15,116.342570989000000,39.896747068300002
75,15,116.343153701000010,39.896768834400000
76,15,116.343079491000000,39.898559606200003
77,15,116.343279966000000,39.898685837300000
78,15,116.343641231000010,39.898795106000001
79,15,116.343926432000000,39.898822943100001
80,15,116.345831997999990,39.898888268599997
81,15,116.348820630000010,39.898983766900002
82,15,116.350364304000000,39.899000673800003
83,15,116.350289100000000,39.898648336800001
84,15,116.350219219000000,39.898488483000001
85,15,116.350337327000010,39.898266448599998
86,15,116.350596833000000,39.898001216300003
87,15,116.350905987000000,39.897770626600000
88,15,116.351275075999990,39.897618729800001
89,15,116.351448393000000,39.897597704100001
90,15,116.352968680999990,39.897820644799999
91,15,116.352978417000000,39.897923800100003
92,15,116.354319876999990,39.897950374899999
93,16,116.428095597000000,39.927255891500003
94,16,116.428155100000000,39.926347014699999
95,16,116.428199113000010,39.925480557400000
96,16,116.428257525000010,39.924366850699997
97,16,116.428289901000000,39.923681637700000
98,16,116.428305826000000,39.923039379899997
99,17,116.373289865999990,39.947451650100000
100,17,116.372984617000000,39.947448125599998
101,17,116.372247646999990,39.947435047299997
102,17,116.370805381000000,39.947418863599999
103,17,116.368942125999990,39.947387368699999
104,17,116.367903145000000,39.947351830499997
105,17,116.367180773000000,39.947316238399999
106,17,116.365795762000000,39.947231232900002
107,18,116.373697957999990,39.947456359900002
108,18,116.373289865999990,39.947451650100000
109,19,116.393008763000000,39.870300863099999
110,19,116.393148990000000,39.870306471699998
111,19,116.397341830000000,39.870537643600002
112,19,116.408409258000010,39.870828710100000
113,19,116.409121426000000,39.870706762799998
114,19,116.410385159000000,39.869994240899999
115,20,116.387588251000000,39.948035464000000
116,20,116.390478758000000,39.948060284500002
117,20,116.393734380000000,39.948072473200000
118,20,116.395850252000000,39.948112806700003
